Company Name,Raw Card Text
TCS,"TCS | Follow | 3.2 | (1.2L) | IT Services & Consulting | Bengaluru +481 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 1.2L | Reviews | 10.4L | Salaries | 11.4k | Interviews | 4.5k | Jobs | 11.1k | Benefits | 100 | Photos"
Accenture,"Accenture | Follow | 3.7 | (77.6k) | IT Services & Consulting | Bengaluru +283 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 77.6k | Reviews | 7.3L | Salaries | 9.6k | Interviews | 14.5k | Jobs | 7k | Benefits | 49 | Photos"
Wipro,"Wipro | Follow | 3.6 | (68.3k) | IT Services & Consulting | Hyderabad +394 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 68.3k | Reviews | 4.9L | Salaries | 7k | Interviews | 7 | Jobs | 5k | Benefits | 123 | Photos"
Cognizant,"Cognizant | Follow | 3.7 | (64.4k) | IT Services & Consulting | Hyderabad +255 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 64.4k | Reviews | 6.1L | Salaries | 6.6k | Interviews | 718 | Jobs | 5.7k | Benefits | 105 | Photos"
Capgemini,"Capgemini | Follow | 3.6 | (56.6k) | IT Services & Consulting | Bengaluru +209 other locations | Highly Rated For | Work Life Balance, Job Security | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 56.6k | Reviews | 5L | Salaries | 5.7k | Interviews | 2k | Jobs | 3.9k | Benefits | 54 | Photos"
HDFC Bank,"HDFC Bank | Follow | 3.8 | (55.7k) | Banking | Mumbai +1916 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 55.7k | Reviews | 1.5L | Salaries | 3.3k | Interviews | 298 | Jobs | 3.5k | Benefits | 110 | Photos"
Infosys,"Infosys | Follow | 3.5 | (51.4k) | IT Services & Consulting | Bengaluru +263 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 51.4k | Reviews | 5.3L | Salaries | 8.6k | Interviews | 4k | Jobs | 5k | Benefits | 120 | Photos"
HCLTech,"HCLTech | Follow | 3.4 | (48.5k) | IT Services & Consulting | Bengaluru +252 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 48.5k | Reviews | 4L | Salaries | 4.7k | Interviews | 344 | Jobs | 4k | Benefits | 74 | Photos"
ICICI Bank,"ICICI Bank | Follow | 4.0 | (47.7k) | Banking | Mumbai +1480 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Promotions, Skill Development | To view salary insights | Select designation | 47.7k | Reviews | 1.6L | Salaries | 3.1k | Interviews | 25 | Jobs | 3.8k | Benefits | 74 | Photos"
Tech Mahindra,"Tech Mahindra | Follow | 3.3 | (45.6k) | IT Services & Consulting | Hyderabad +340 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 45.6k | Reviews | 2.8L | Salaries | 4.7k | Interviews | 732 | Jobs | 3.5k | Benefits | 89 | Photos"
Genpact,"Genpact | Follow | 3.6 | (44.9k) | Analytics & KPO | Hyderabad +191 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 44.9k | Reviews | 2.4L | Salaries | 4.1k | Interviews | 546 | Jobs | 3.7k | Benefits | 78 | Photos"
TP,"TP | Follow | 3.8 | (40.9k) | BPO | Mumbai +270 other locations | Highly Rated For | Work Life Balance, Job Security | To view salary insights | Select designation | 40.9k | Reviews | 1L | Salaries | 2.3k | Interviews | 1.5k | Jobs | 2k | Benefits | 41 | Photos"
Axis Bank,"Axis Bank | Follow | 3.6 | (35.2k) | Banking | Mumbai +1571 other locations | Critically Rated For | Promotions, Work Satisfaction, Company Culture | To view salary insights | Select designation | 35.2k | Reviews | 1L | Salaries | 2.1k | Interviews | 212 | Jobs | 2.3k | Benefits | 140 | Photos"
Jio,"Jio | Follow | 4.4 | (34.7k) | Telecom | Mumbai +1982 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Company Culture, Work Life Balance | To view salary insights | Select designation | 34.7k | Reviews | 61.2k | Salaries | 4.6k | Interviews | -- | Jobs | 2.6k | Benefits | 97 | Photos"
Concentrix Corporation,"Concentrix Corporation | Follow | 3.5 | (34k) | BPO | Bengaluru +195 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 34k | Reviews | 1.3L | Salaries | 2.1k | Interviews | 60 | Jobs | 3.3k | Benefits | 75 | Photos"
Amazon,"Amazon | Follow | 3.9 | (33.4k) | Internet | Bengaluru +553 other locations | Highly Rated For | Company Culture, Work Life Balance, Salary | Critically Rated For | Promotions, Job Security | To view salary insights | Select designation | 33.4k | Reviews | 1.6L | Salaries | 6.2k | Interviews | 83 | Jobs | 3.5k | Benefits | 106 | Photos"
Reliance Retail,"Reliance Retail | Follow | 3.9 | (28.5k) | Retail | Mumbai +1192 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Work Life Balance, Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 28.5k | Reviews | 75.1k | Salaries | 2k | Interviews | 73 | Jobs | 1.9k | Benefits | 154 | Photos"
iEnergizer,"iEnergizer | Follow | 4.5 | (28.2k) | BPO | Noida +56 other locations | Highly Rated For | Company Culture, Work Life Balance, Job Security | To view salary insights | Select designation | 28.2k | Reviews | 25.5k | Salaries | 1.7k | Interviews | 75 | Jobs | 976 | Benefits | 30 | Photos"
LTM Limited,"LTM Limited | Follow | 3.6 | (27.9k) | IT Services & Consulting | Bengaluru +158 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 27.9k | Reviews | 2.1L | Salaries | 3.5k | Interviews | 556 | Jobs | 922 | Benefits | 34 | Photos"
